principio_ativo;principio_ativo_norm;apresentacao;concentracao;setor_uso;rxcui;anvisa_registro;anvisa_produto;anvisa_situacao;anvisa_empresa;anvisa_ativos;status
Levotiroxina;levotiroxina;Comprimido 100 mcg;100 mcg;Clinica;10582;183260353;PURAN T4;Ativo;10588595001092 - SANOFI MEDLEY FARMAC�UTICA LTDA.;14;rxcui_ok anvisa_ok
Esomeprazol;esomeprazol;Frasco 40 mg po;40 mg;UTI, Clinica;283742;109170113;ESOMEPRAZOL S�DICO;Inativo;17875154000120 - MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;1;rxcui_ok anvisa_ok
Ferro sacarato;ferro sacarato;Ampola 5 mL;20 mg/mL;Clinica;24909;104042000;PERFER;Inativo;61299111000135 - LUPER IND�STRIA FARMAC�UTICA LTDA;4;rxcui_ok anvisa_ok
Cianocobalamina;cianocobalamina;Ampola 1 mL;1000 mcg/mL;Clinica;11248;104650459;CIANON B12;Inativo;29785870000103 - LABORAT�RIO NEO QU�MICA COM�RCIO E IND�STRIA LTDA;14;rxcui_ok anvisa_ok
Acido folico;acido folico;Ampola 1 mL;5 mg/mL;Clinica, Obstetricia;4511;103700157;AFOPIC;Ativo;17159229000176 - LABORAT�RIO TEUTO BRASILEIRO S/A;41;rxcui_ok anvisa_ok
Laculose;laculose;Frasco 100 mL;667 mg/mL;Clinica;6218;;;;;0;rxcui_ok
Nistatina oral;nistatina oral;Frasco 50 mL;100000 UI/mL;Clinica, Pediatria;7597;109680075;NISTATINA;Inativo;43521129000158 - LABORAT�RIO KINDER LTDA;87;rxcui_ok anvisa_ok
Colistina;colistina;Frasco 150 mg po;150 mg;UTI;2709;;;;;0;rxcui_ok
Voriconazol;voriconazol;Frasco 200 mg po;200 mg;UTI;121243;151430065;VORICONAZOL;Inativo;03978166000175 - DR. REDDYS FARMAC�UTICA DO BRASIL LTDA;27;rxcui_ok anvisa_ok
Caspofungina;caspofungina;Frasco 50 mg po;50 mg;UTI;140108;100431156;BERK;Ativo;61190096000192 - EUROFARMA LABORATORIOS S.A.;6;rxcui_ok anvisa_ok
Micafungina;micafungina;Frasco 50 mg po;50 mg;UTI;325887;100470661;MYCAMINE;Ativo;61286647000116 - SANDOZ DO BRASIL IND�STRIA FARMAC�UTICA LTDA;6;rxcui_ok anvisa_ok
Aciclovir;aciclovir;Frasco 250 mg po;250 mg;UTI, Clinica;281;126750287;ACICLOVIR;Inativo;72593791000111 - NOVA QUIMICA FARMAC�UTICA S/A;117;rxcui_ok anvisa_ok
Ganciclovir;ganciclovir;Frasco 500 mg po;500 mg;UTI;4678;116370037;GANVIRAX;Ativo;58430828000160 - BLAU FARMAC�UTICA S.A.;2;rxcui_ok anvisa_ok
Tranexamico;tranexamico;Ampola 5 mL;100 mg/mL;Emergencia, Cirurgia, Obstetricia;10691;;;;;0;rxcui_ok
Acido aminocaproico;acido aminocaproico;Frasco 20 mL;250 mg/mL;Cirurgia, UTI;99;;;;;0;rxcui_ok
Tenecteplase;tenecteplase;Frasco 50 mg po;50 mg;Emergencia;259280;103670133;METALYSE;Ativo;60831658000177 - BOEHRINGER INGELHEIM DO BRASIL QU�MICA E FARMAC�UTICA LTDA.;1;rxcui_ok anvisa_ok
Alteplase;alteplase;Frasco 50 mg po;50 mg;Emergencia, UTI;8410;103670049;ACTILYSE;Ativo;60831658000177 - BOEHRINGER INGELHEIM DO BRASIL QU�MICA E FARMAC�UTICA LTDA.;1;rxcui_ok anvisa_ok
Estreptoquinase;estreptoquinase;Frasco 1500000 UI po;1500000 UI;Emergencia;10106;102700105;STREPTONASE;Inativo;61391769000172 - ARISTON INDS QUIMS FTCAS LTDA;7;rxcui_ok anvisa_ok
Oseltamivir;oseltamivir;Frasco 75 mg po;75 mg;Clinica;259275;102980611;GRIPXIA;Ativo;44734671000151 - CRIST�LIA PRODUTOS QU�MICOS FARMAC�UTICOS LTDA.;9;rxcui_ok anvisa_ok
Hidroxicloroquina;hidroxicloroquina;Comprimido 400 mg;400 mg;Clinica;5521;100431401;REUMAKI;Ativo;61190096000192 - EUROFARMA LABORATORIOS S.A.;18;rxcui_ok anvisa_ok
Amantadina;amantadina;Comprimido 100 mg;100 mg;Clinica;620;100430519;MANTIDAN;Inativo;61190096000192 - EUROFARMA LABORATORIOS S.A.;3;rxcui_ok anvisa_ok
Rimantadina;rimantadina;Comprimido 100 mg;100 mg;Clinica;9386;;;;;0;rxcui_ok
Zidovudina;zidovudina;Frasco 200 mg po;200 mg;Clinica;11413;108840308;IQUEGO-ZIDOVUDINA;Inativo;01541283000141 - IND�STRIA QU�MICA DO ESTADO DE GOI�S S/A - IQUEGO;21;rxcui_ok anvisa_ok
Morfina (dose pediátrica);morfina dose pediatrica;Ampola 1 mL;1 mg/mL;Pediatria, Emergencia;235751;;;;;0;rxcui_ok
Paracetamol (ampola);paracetamol ampola;Ampola 2 mL;10 mg/mL;Pediatria;161;126750089;PARACETAMOL;Inativo;72593791000111 - NOVA QUIMICA FARMAC�UTICA S/A;261;rxcui_ok anvisa_ok
Dipirona (gotas);dipirona gotas;Frasco 10 mL;500 mg/mL;Pediatria, Clinica;3523;118190007;MULTIRALGIM;Inativo;92265552000905 - MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;167;rxcui_ok anvisa_ok
Ondansetrona (comprimido);ondansetrona comprimido;Comprimido 8 mg;8 mg;Clinica;203148;151430093;KEMYZA;Ativo;03978166000175 - DR. REDDYS FARMAC�UTICA DO BRASIL LTDA;7;rxcui_ok anvisa_ok
Prometazina (comprimido);prometazina comprimido;Comprimido 25 mg;25 mg;Clinica;142445;113000320;CREMEFENERGAN;Inativo;02685377000157 - SANOFI-AVENTIS FARMAC�UTICA LTDA;8;rxcui_ok anvisa_ok
Haloperidol (comprimido);haloperidol comprimido;Comprimido 5 mg;5 mg;Clinica;217483;101810193;PERLADOL;Inativo;50929710000179 - MEDLEY IND�STRIA FARMAC�UTICA LTDA;25;rxcui_ok anvisa_ok
Diazepam (comprimido);diazepam comprimido;Comprimido 10 mg;10 mg;Clinica;3322;102350899;DISTONIL GI;Inativo;57507378000365 - EMS S/A;49;rxcui_ok anvisa_ok
Clonazepam (comprimido);clonazepam comprimido;Comprimido 2 mg;2 mg;Clinica;2598;100470466;CLONAZEPAM (PORT. 344/98 - LISTA B1);Inativo;61286647000116 - SANDOZ DO BRASIL IND�STRIA FARMAC�UTICA LTDA;58;rxcui_ok anvisa_ok
Carbamazepina;carbamazepina;Comprimido 200 mg;200 mg;Clinica;2002;101810541;PROLEPTOL;Inativo;50929710000179 - MEDLEY IND�STRIA FARMAC�UTICA LTDA;67;rxcui_ok anvisa_ok
Fenitoina (comprimido);fenitoina comprimido;Comprimido 100 mg;100 mg;Clinica;8183;112090023;FUNED - FENITO�NA;Ativo;17503475000101 - FUNDA��O EZEQUIEL DIAS - FUNED;13;rxcui_ok anvisa_ok
Valproato de sodio (comprimido);valproato de sodio comprimido;Comprimido 250 mg;250 mg;Clinica;11118;120330033;VALPAKINE;Inativo;61099966000112 - SANOFI - SYNTHELABO FARMAC�UTICA LTDA;14;rxcui_ok anvisa_ok
Levetiracetam (comprimido);levetiracetam comprimido;Comprimido 500 mg;500 mg;Clinica;114477;100431500;SPARK XR;Ativo;61190096000192 - EUROFARMA LABORATORIOS S.A.;53;rxcui_ok anvisa_ok
Metformina;metformina;Comprimido 500 mg;500 mg;Clinica;235743;155370009;CLORIDRATO DE METFORMINA;Ativo;64171697000146 - ACCORD FARMAC�UTICA LTDA;155;rxcui_ok anvisa_ok
Glibenclamida;glibenclamida;Comprimido 5 mg;5 mg;Clinica;4815;102350661;GLIBENCLAMIDA;Ativo;57507378000365 - EMS S/A;66;rxcui_ok anvisa_ok
Captopril;captopril;Comprimido 25 mg;25 mg;Emergencia, Clinica;1998;118190205;CAPTOLAB;Ativo;92265552000905 - MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;120;rxcui_ok anvisa_ok
Enalapril;enalapril;Comprimido 10 mg;10 mg;Clinica;203123;118360008;ENACOR;Inativo;33019548000132 - SILVESTRE LABS QU�MICA E FARMAC�UTICA LTDA;1;rxcui_ok anvisa_ok
Losartana;losartana;Comprimido 50 mg;50 mg;Clinica;52175;112130321;LOSARTANA POT�SSICA;Inativo;53162095000106 - BIOSINT�TICA FARMAC�UTICA LTDA;126;rxcui_ok anvisa_ok
Anlodipino;anlodipino;Comprimido 5 mg;5 mg;Clinica;104416;143810163;ALIVPRESS;Ativo;02814497000107 - CIMED INDUSTRIA S.A;170;rxcui_ok anvisa_ok
Hidroclorotiazida;hidroclorotiazida;Comprimido 25 mg;25 mg;Clinica;5487;108580010;DI-HIDROCLOROTIAZIDA;Inativo;51603488000182 - PRODOTTI LABORAT�RIO FARMAC�UTICO LTDA.;71;rxcui_ok anvisa_ok
Espironolactona;espironolactona;Comprimido 25 mg;25 mg;Clinica;9997;121100419;ALDACTONE;Ativo;61072393000133 - PFIZER BRASIL LTDA;20;rxcui_ok anvisa_ok
Atenolol;atenolol;Comprimido 50 mg;50 mg;Clinica;1202;125680146;ATENOLOL;Ativo;73856593000166 - PRATI DONADUZZI & CIA LTDA;84;rxcui_ok anvisa_ok
Carvedilol;carvedilol;Comprimido 6,25 mg;6,25 mg;Clinica;20352;101000643;COREG;Inativo;33009945000123 - PRODUTOS ROCHE QU�MICOS E FARMAC�UTICOS S.A.;46;rxcui_ok anvisa_ok
Amiodarona (comprimido);amiodarona comprimido;Comprimido 200 mg;200 mg;Clinica;203114;;;;;0;rxcui_ok
Digoxina (comprimido);digoxina comprimido;Comprimido 0,25 mg;0,25 mg;Clinica;3407;101620135;DARROWCOR;Inativo;33051491000159 - LABORAT�RIOS PIERRE FABRE DO BRASIL LTDA;56;rxcui_ok anvisa_ok
Warfarina;warfarina;Comprimido 5 mg;5 mg;Clinica;11289;;;;;0;rxcui_ok
Rivaroxabana;rivaroxabana;Comprimido 20 mg;20 mg;Clinica;1114195;183260469;ITEXTAR;Ativo;10588595001092 - SANOFI MEDLEY FARMAC�UTICA LTDA.;59;rxcui_ok anvisa_ok
Apixabana;apixabana;Comprimido 5 mg;5 mg;Clinica;1364430;102351434;APIXABANA;Ativo;57507378000365 - EMS S/A;33;rxcui_ok anvisa_ok
Clopidogrel;clopidogrel;Comprimido 75 mg;75 mg;Clinica, Emergencia;236991;167730534;BISSULFATO DE CLOPIDOGREL;Ativo;05044984000126 - LEGRAND PHARMA IND�STRIA FARMAC�UTICA LTDA;68;rxcui_ok anvisa_ok
AAS;aas;Comprimido 100 mg;100 mg;Clinica, Emergencia;1191;;;;;0;rxcui_ok
Atorvastatina;atorvastatina;Comprimido 20 mg;20 mg;Clinica;83367;100380070;ATORVAN;Inativo;46179008000168 - BRASTERAPICA PHARMACEUTICA LTDA.;3;rxcui_ok anvisa_ok
Prednisona;prednisona;Comprimido 20 mg;20 mg;Clinica;8640;100380080;PREDITEC;Inativo;46179008000168 - BRASTERAPICA PHARMACEUTICA LTDA.;65;rxcui_ok anvisa_ok
Levotiroxina (comprimido);levotiroxina comprimido;Comprimido 100 mcg;100 mcg;Clinica;10582;;;;;0;rxcui_ok
Acido folico (comprimido);acido folico comprimido;Comprimido 5 mg;5 mg;Clinica, Obstetricia;4511;103700157;AFOPIC;Ativo;17159229000176 - LABORAT�RIO TEUTO BRASILEIRO S/A;41;rxcui_ok anvisa_ok
Sulfato ferroso;sulfato ferroso;Comprimido 40 mg Fe;40 mg;Clinica;24947;143810103;CIMEFER;Inativo;02814497000107 - CIMED INDUSTRIA S.A;27;rxcui_ok anvisa_ok
Metotrexato (comprimido);metotrexato comprimido;Comprimido 2,5 mg;2,5 mg;Oncologia, Clinica;6851;104970201;UNI-TREXATO;Inativo;60665981000118 - UNI�O QU�MICA FARMAC�UTICA NACIONAL S/A;25;rxcui_ok anvisa_ok
Hidroxiureia (comprimido);hidroxiureia comprimido;Comprimido 500 mg;500 mg;Oncologia;5552;110130255;UREATIV 20;Inativo;44363661000157 - GLENMARK FARMAC�UTICA LTDA;26;rxcui_ok anvisa_ok
Fluconazol (comprimido);fluconazol comprimido;Comprimido 150 mg;150 mg;Clinica;4450;100380057;FLUCOTIL;Inativo;46179008000168 - BRASTERAPICA PHARMACEUTICA LTDA.;98;rxcui_ok anvisa_ok
Aciclovir (comprimido);aciclovir comprimido;Comprimido 200 mg;200 mg;Clinica;281;126750287;ACICLOVIR;Inativo;72593791000111 - NOVA QUIMICA FARMAC�UTICA S/A;117;rxcui_ok anvisa_ok
Azitromicina;azitromicina;Comprimido 500 mg;500 mg;Clinica, Emergencia;18631;167730250;AZITROMICINA;Inativo;05044984000126 - LEGRAND PHARMA IND�STRIA FARMAC�UTICA LTDA;38;rxcui_ok anvisa_ok
Claritromicina;claritromicina;Comprimido 500 mg;500 mg;Clinica;21212;101810311;CLAMICIN;Inativo;50929710000179 - MEDLEY IND�STRIA FARMAC�UTICA LTDA;47;rxcui_ok anvisa_ok
Doxiciclina;doxiciclina;Comprimido 100 mg;100 mg;Clinica;3640;102350365;CLORIDRATO DE DOXICICLINA;Inativo;57507378000365 - EMS S/A;3;rxcui_ok anvisa_ok
Ciprofloxacino (comprimido);ciprofloxacino comprimido;Comprimido 500 mg;500 mg;Clinica;235851;112080033;LQFEX - OFLOXACINO;Inativo;00394452000103 - LABORAT�RIO QU�MICO FARMAC�UTICO DO EX�RCITO;59;rxcui_ok anvisa_ok
Levofloxacino (comprimido);levofloxacino comprimido;Comprimido 500 mg;500 mg;Clinica;82122;112080033;LQFEX - OFLOXACINO;Inativo;00394452000103 - LABORAT�RIO QU�MICO FARMAC�UTICO DO EX�RCITO;45;rxcui_ok anvisa_ok
Nitrofurantoina;nitrofurantoina;Comprimido 100 mg;100 mg;Clinica;221129;121100291;NITROFURANTOINA;Inativo;61072393000133 - PFIZER BRASIL LTDA;9;rxcui_ok anvisa_ok
Cefalexina;cefalexina;Comprimido 500 mg;500 mg;Clinica;2231;100430735;CEFALEXINA;Inativo;61190096000192 - EUROFARMA LABORATORIOS S.A.;37;rxcui_ok anvisa_ok
Amoxicilina;amoxicilina;Comprimido 500 mg;500 mg;Clinica, Pediatria;723;102940152;AMOXICILINA;Inativo;61541132000115 - NEOLATINA COM�RCIO E IND�STRIA FARMACEUTICA S.A;63;rxcui_ok anvisa_ok
Metronidazol (comprimido);metronidazol comprimido;Comprimido 250 mg;250 mg;Clinica, Cirurgia;103866;110850014;NIDAZOFARMA;Ativo;06628333000146 - FARMACE IND�STRIA QU�MICO-FARMAC�UTICA CEARENSE LTDA;81;rxcui_ok anvisa_ok
Albendazol;albendazol;Comprimido 400 mg;400 mg;Clinica, Pediatria;430;101810486;ALBENDAZOL;Inativo;50929710000179 - MEDLEY IND�STRIA FARMAC�UTICA LTDA;96;rxcui_ok anvisa_ok
Ivermectina;ivermectina;Comprimido 6 mg;6 mg;Clinica;6069;118190358;IVERMECTINA;Ativo;92265552000905 - MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;24;rxcui_ok anvisa_ok
Oseltamivir (comprimido);oseltamivir comprimido;Comprimido 75 mg;75 mg;Clinica;259275;;;;;0;rxcui_ok
Baloxavir;baloxavir;Comprimido 40 mg;40 mg;Clinica;2197842;101000673;XOFLUZA;Inativo;33009945000123 - PRODUTOS ROCHE QU�MICOS E FARMAC�UTICOS S.A.;1;rxcui_ok anvisa_ok
